SteadyStateVoltage,Current,Cell_ID
-0.0920149,-100,P9_iMNTB_12232024_S1C4
-0.0906474,-90,
-0.0893657,-80,
-0.0881662,-70,
-0.0867725,-60,
-0.0853627,-50,
-0.0834273,-40,
-0.0822557,-30,
-0.0802366,-20,
-0.0782648,-10,
-0.0755537,0,
-0.0726026,10,
-0.0699097,20,
-0.0674277,30,
-0.0653239,40,
-0.0638539,50,
-0.0623184,60,
-0.0610247,70,
-0.0602355,80,
-0.0594449,90,
-0.0587984,100,
-0.0583283,110,
-0.0576802,120,
-0.0570822,130,
-0.056745,140,
-0.0563382,150,
-0.0558731,160,
-0.0554721,170,
-0.0548434,180,
-0.0545927,190,
-0.0542799,200,
-0.0541223,210,
-0.0538292,220,
-0.0537224,230,
-0.0533858,240,
