Stimulus (pA),Steady State (mV),Avg Threshold (mV),First Threshold (mV)
0,-63.15590171079752,-74.85647314029737,-65.01050589699491
1,-63.117586492214606,-72.75837497326557,-64.38480324158593
2,-63.28413197710296,-71.29034193035578,-64.29094784327457
3,-63.8463637154079,-68.94669909576308,-64.57251403820861
4,-64.44791139625481,,
5,-64.7380462900884,,
6,-65.754031289535,,
7,-66.134181303487,-60.89395577743456,-64.97922076422446
8,-65.36035899308604,-58.87101671422977,-65.54235315409257
9,-67.72159219261252,-57.73552842921463,-66.01163014564932
10,-69.10646906147159,-57.16644712772556,-66.16805580950157
11,-69.95458261678405,-58.82698668738184,-66.9501841287628
12,-70.27498941037953,-59.79469963927328,-67.13789492538551
13,-70.08316313647516,-59.85741614406637,-66.825043597681
14,-70.47245726560317,-59.57487500988218,-66.66861793382877
15,-70.05805747415198,-59.520423246260854,-66.79375846491057
16,-69.87479989914713,-58.50268540971231,-66.44962200443561
17,-70.28714820648226,-59.37403552625644,-66.57476253551741
18,-70.26219265275292,-58.65487177252718,-66.41833687166516
19,-70.33552070085383,-58.21137679332236,-66.48090713720606
20,-70.1389910243418,-58.1373619196639,-66.85632873045145
21,-70.23504801536312,-58.21551108156957,-66.7624733321401
22,-70.22954403358824,-58.971201217117375,-66.825043597681
23,-70.5091463077526,-58.649009345975024,-66.51219226997651
24,-70.56586233813294,-57.88130425019134,-66.41833687166516
