Stimulus_nA,SteadyStateVoltage_mV,AP_count
-0.1,-85.48,0
-0.09,-84.587,0
-0.08,-83.633,0
-0.07,-82.61,0
-0.06,-81.506,0
-0.05,-80.31,0
-0.04,-79.007,0
-0.03,-77.584,0
-0.02,-76.024,0
-0.01,-74.321,0
-0.0,-72.479,0
0.01,-70.533,0
0.02,-68.545,0
0.03,-66.588,0
0.04,-64.719,0
0.05,-62.967,0
0.06,-61.335,0
0.07,-59.817,0
0.08,-58.399,0
0.09,-57.069,0
0.1,-55.816,0
0.11,-54.633,0
0.12,-53.513,0
0.13,-52.453,0
0.14,-51.451,0
0.15,-50.507,0
0.16,-49.62,0
0.17,-48.789,0
0.18,-48.01,0
0.19,-47.285,0
0.2,-46.607,0
0.21,-45.971,1
