ID,Cell ID,distance_to_centroid,PatchMaster ID,Rheobase,Notes
P9_TeNT,02062024_S4C1,1.705123953,Trace 6-2,Sweep 11,
P9_TeNT,12232024_S1C1,2.243060489,Trace 1-3,Sweep 22,
P9_TeNT,10142022_S1C1,2.289029017,Trace 1-3,Sweep 8,
P9_TeNT,12172022_S2C4,2.338897437,Trace 5-2,Sweep 9,
P9_TeNT,12172022_S3C1,2.42685398,,,Below PC3 = 1
P9_TeNT,03232022_S1C2,2.426871862,Trace 2-2,Sweep 12,
P9_TeNT,08122022_S1C4,2.560545506,,,
P9_iMNTB,12172022_S2C2,0.848444006,Trace 3-3,Sweep 16,
P9_iMNTB,08122022_S2C1,1.094854911,Trace 5-2,Sweep 14,
P9_iMNTB,08122022_S1C2,1.450844385,Trace 2-3,Sweep 17,
P9_iMNTB,02072024_S3C3,1.580035143,Trace 8-3,Sweep 13,
P9_iMNTB,02062024_S2C2,1.585513068,,,Tonic
P9_iMNTB,02072024_S2C1,2.336135099,,,Above PC3 = 1
P9_iMNTB,08122022_S1C3,2.513255059,Trace 3-2,Sweep 16,
