gleak,gklt,gh,erev,gkht,gna,gka,rin_exp_mohm,rin_sim_mohm,rmse_mV,r2_score,age,group,date,cell_id,source_file
8.95880860790507,34.23735851087516,6.1006603690048316,-75.32181288869727,5.0,5.0,5.0,169.26508234124185,167.5260159267535,0.1636111322124661,0.9997304083723834,P9,iMNTB,02072024,S3C3,passive_summary_experimental_data_02072024_P9_FVB_PunTeTx_Dan_iMNTB_140pA_S3C3_CC Test Old2.json
8.971675481118982,30.97974198800358,6.921119309567185,-74.82380153105824,5.0,20.0,20.0,167.17836398545273,164.76918071724168,0.20196195351507865,0.9996675501656762,P9,iMNTB,08122022,S1C2,passive_summary_experimental_data_08122022_P9_FVB_PunTeTx_iMNTB_220pA_S1C2_CC Test2.json
7.398731363193894,14.919496108056276,10.054278676676466,-74.70356791248894,5.0,20.0,20.0,192.33786775944904,187.28158144675191,0.1714543121345741,0.9997831760055788,P9,iMNTB,08122022,S2C1,passive_summary_experimental_data_08122022_P9_FVB_PunTeTx_iMNTB_160pA_S2C1_CC Test1.json
2.818114105023426,9.460811715797876,23.670773161496232,-70.0,5.0,20.0,5.0,199.44115715497983,226.7094130743941,0.5599951378590237,0.997002162151161,P9,TeNT,02062024,S4C1,passive_summary_experimental_data_02062024_P9_FVB_PunTeTx_Dan_TeNT_80pA_S4C1_CC Test Old1.json
4.597545324389113,19.38750592454736,13.38928866019018,-80.58358259186693,11.41702495156001,5.0,5.0,198.0176836139243,193.22781206677016,0.3104894892353654,0.999342400556187,P9,iMNTB,12172022,S2C2,passive_summary_experimental_data_12172022_P9_FVB_PunTeTx_iMNTB_200pA_S2C2_CC Test2.json
8.935687594991695,1.8643304807702916,2.420786943883117,-70.68210398454247,5.0,5.0,5.0,265.4590443271831,258.56843847346875,0.17064087618737908,0.9997369592180859,P9,TeNT,12172022,S2C4,passive_summary_experimental_data_12172022_P9_FVB_PunTeTx_TeNT_40pA_S2C4_CC Test1.json
14.990426777698602,1.0,7.160833147851161,-72.79187221919524,5.0,20.0,5.0,156.91496332877892,146.2416249461295,0.3027105539695098,0.9987852777069979,P9,TeNT,12232024,S1C1,passive_summary_experimental_data_12232024_P9_FVB_PunTeTx_Dan_TeNT_100pA_S1C1_CC Test Old2.json
4.732476403172623,24.675314972909902,11.84725104792327,-75.79057181178673,7.5692788625986305,8.317882612831214,8.510505656698,215.8376952399721,192.98321400255182,0.7749774245667413,0.9955176221718234,P9,iMNTB,08122022,S1C3,passive_summary_experimental_data_08122022_P9_FVB_PunTeTx_iMNTB_200pA_S1C3_CC Test1.json
9.509618390258924,32.67746923928595,5.7136552791042705,-75.15423329311336,5.0,14.724252318195665,5.0,169.26508234124185,166.01674509007475,0.1571255450627142,0.9997936942130464,P9,iMNTB,02072024,S3C3,passive_summary_experimental_data_02072024_P9_FVB_PunTeTx_Dan_iMNTB_200pA_S3C3_CC Test Old2.json
9.837810395088502,31.804424487474066,5.450439744576643,-75.00069284257721,5.0,20.0,20.0,169.26508234124185,164.77032999568203,0.17925816640636588,0.9997675928044737,P9,iMNTB,02072024,S3C3,passive_summary_experimental_data_02072024_P9_FVB_PunTeTx_Dan_iMNTB_280pA_S3C3_CC Test Old2.json
4.380074682388992,1.0,10.606429704179092,-70.0,5.0,20.0,5.0,373.5257141995084,375.46581217227157,0.6833976981970252,0.9947166885689924,P9,TeNT,10142022,S1C1,passive_summary_experimental_data_10142022_P9_FVB_PunTeTx_TeNT_20pA_S1C1_CC Test2.json
9.112751950369436,33.68006761648016,5.995623467242964,-75.27951054693762,5.0,5.0,5.0,169.26508234124185,167.14773634360247,0.1590197795193668,0.9997631104636788,P9,iMNTB,02072024,S3C3,passive_summary_experimental_data_02072024_P9_FVB_PunTeTx_Dan_iMNTB_160pA_S3C3_CC Test Old2.json
10.350881959082674,8.455913223327778,19.264090544103066,-70.0,5.0,20.0,5.0,137.7640821546763,148.41256106133355,0.4401356639761596,0.9976999915770581,P9,TeNT,03232022,S1C2,passive_summary_experimental_data_03232022_P9_FVB_PunTeTx_TeNT_120pA_S1C2_CC Test1.json
