Variable,Test,p-value,Group 1,Group 2
gleak,M-W U,0.15079365079365079,iMNTB,TeNT
gklt,M-W U,0.007936507936507936,iMNTB,TeNT
gh,M-W U,0.8412698412698413,iMNTB,TeNT
erev,M-W U,0.011159425282914753,iMNTB,TeNT
gna,M-W U,0.5476190476190477,iMNTB,TeNT
gkht,M-W U,0.031746031746031744,iMNTB,TeNT
gka,M-W U,0.007936507936507936,iMNTB,TeNT
stim_amp,M-W U,0.015873015873015872,iMNTB,TeNT
cam,M-W U,0.2222222222222222,iMNTB,TeNT
kam,M-W U,0.05555555555555555,iMNTB,TeNT
cbm,M-W U,1.0,iMNTB,TeNT
kbm,M-W U,0.42063492063492064,iMNTB,TeNT
