Stimulus (pA),Latency to Threshold (ms),Latency to Peak (ms)
-100,,
-80,,
-60,,
-40,,
-20,,
0,,
20,,
40,,
60,,
80,33.71999999992332,34.09999999992297
100,7.219999999947419,7.5599999999471095
120,3.6599999999506565,3.9999999999503473
140,2.6199999999516024,2.9599999999512914
160,2.0799999999520935,2.439999999951766
180,1.7399999999524045,2.0999999999520753
200,1.4999999999526192,1.8599999999522936
220,1.2999999999528047,1.6799999999524555
240,1.1599999999529302,1.5399999999525846
260,1.0199999999530576,1.4199999999526938
280,0.9199999999531485,1.3199999999527847
300,0.8199999999532395,1.2399999999528557
320,0.7199999999533304,1.179999999952912
340,0.6199999999534196,1.1199999999529684
360,0.5199999999535123,1.0599999999530194
380,0.5199999999535123,1.0199999999530576
