Parameter,Value
gna,492.2963473127115
gkht,1107.1368141367302
gklt,7.205812627481248
cam,194.2679744433111
kam,0.011625304893584636
cbm,157.13799545869782
kbm,-0.02637071360276673
cah,0.005208547778608539
kah,-0.13076600059405308
cbh,0.9957984273278638
kbh,0.0321559547792673
can,0.28066290246417636
kan,0.012191077735747093
cbn,0.19228908724540203
kbn,0.3719879961911556
cap,0.006379524866951162
kap,0.06581360594123391
cbp,0.07382848285842485
kbp,0.006546122341118322
na_scale,4.414467372332936
kht_scale,1.4715093895494247
klt_scale,2.4174444815013203
ih_soma,4.627807327720138
ih_dend,0.6129545938926624
stim_amp,0.3407007389412617
